epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,600.054,1.01423,2.34219,1.55436,0.79949,0.76107,0.83564,0.66708,0.81632,1.09629,1.64683,0.00999718,0.00333239,0.00999718,0.00333239,0.00999718,0.00333239,0.00999718,0.00333239
2,1108.6,0.9125,1.29993,1.4349,0.83951,0.80628,0.84634,0.65263,0.87851,1.01848,1.71378,0.0197992,0.00659974,0.0197992,0.00659974,0.0197992,0.00659974,0.0197992,0.00659974
3,1590.49,0.95387,1.26962,1.46092,0.79273,0.83503,0.86231,0.65217,0.91779,0.94501,1.82017,0.0294032,0.00980108,0.0294032,0.00980108,0.0294032,0.00980108,0.0294032,0.00980108
4,2055.21,0.9607,1.2473,1.46074,0.85,0.85617,0.85071,0.66885,0.80314,0.90201,1.5956,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2535.47,0.91866,1.08943,1.41869,0.93059,0.83661,0.8808,0.69186,0.82742,0.82495,1.62843,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3001.98,0.88852,0.99639,1.3903,0.89794,0.84779,0.86701,0.67592,0.85653,0.89824,1.65689,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3466.23,0.86049,0.92969,1.36623,0.90471,0.91344,0.90266,0.71942,0.79825,0.66356,1.56758,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3920.68,0.84006,0.89291,1.35495,0.90469,0.89833,0.88908,0.71226,0.77188,0.75034,1.54564,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4376.16,0.82117,0.84022,1.34159,0.94488,0.87563,0.90498,0.71728,0.77258,0.74894,1.53527,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4826.22,0.8123,0.81526,1.3308,0.87894,0.93024,0.90953,0.74222,0.73564,0.64583,1.48961,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5281.39,0.80006,0.79927,1.32023,0.90493,0.91679,0.91659,0.74884,0.73967,0.59702,1.49518,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
